gene.names	cluster
ENSMUSG00000069804	Gm10277	1
ENSMUSG00000018761	Mpdu1	1
ENSMUSG00000031392	Irak1	1
ENSMUSG00000097428	AW047730	1
ENSMUSG00000025878	Uimc1	1
ENSMUSG00000026873	Phf19	1
ENSMUSG00000039759	Thap3	1
ENSMUSG00000027438	Napb	2
ENSMUSG00000045294	Insig1	2
ENSMUSG00000059839	Zfp874b	2
ENSMUSG00000021670	Hmgcr	2
ENSMUSG00000022905	Kpna1	2
ENSMUSG00000054814	Usp46	2
ENSMUSG00000000416	Cttnbp2	2
ENSMUSG00000019891	Dcbld1	2
ENSMUSG00000026718	Stam	2
ENSMUSG00000029782	Tmem209	2
ENSMUSG00000053110	Yap1	2
ENSMUSG00000078879	Zfp973	2
