gene.names	cluster
ENSMUSG00000003660	Snrnp200	1
ENSMUSG00000022892	App	1
ENSMUSG00000024127	Prepl	1
ENSMUSG00000025551	Fgf14	1
ENSMUSG00000026824	Kcnj3	1
ENSMUSG00000035045	Zc3h12b	1
ENSMUSG00000042807	Hecw2	1
ENSMUSG00000045967	Gpr158	1
ENSMUSG00000102742	Pcdhga11	1
ENSMUSG00000041268	Dmxl2	1
ENSMUSG00000045589	Frrs1l	1
ENSMUSG00000007653	Gabrb2	1
ENSMUSG00000008153	Clstn3	1
ENSMUSG00000017740	Slc12a5	1
ENSMUSG00000020900	Myh10	1
ENSMUSG00000027438	Napb	1
ENSMUSG00000029804	Herc3	1
ENSMUSG00000031709	Tbc1d9	1
ENSMUSG00000039765	Cc2d2a	1
ENSMUSG00000042272	Sestd1	1
ENSMUSG00000050812	Ecpas	1
ENSMUSG00000067851	Arfgef1	1
ENSMUSG00000057738	Sptan1	1
ENSMUSG00000030729	Pgm2l1	1
ENSMUSG00000037996	Slc24a2	1
ENSMUSG00000075318	Scn2a	1
ENSMUSG00000022973	Synj1	1
ENSMUSG00000022812	Gsk3b	1
ENSMUSG00000104346	Pcdhga3	1
ENSMUSG00000018548	Trim37	1
ENSMUSG00000020598	Nrcam	1
ENSMUSG00000021374	Nup153	1
ENSMUSG00000038039	Gcc2	1
ENSMUSG00000053025	Sv2b	1
ENSMUSG00000018707	Dync1h1	1
ENSMUSG00000020436	Gabrg2	1
ENSMUSG00000025092	Hspa12a	1
ENSMUSG00000026904	Slc4a10	1
ENSMUSG00000031976	Urb2	1
ENSMUSG00000032410	Xrn1	1
ENSMUSG00000037826	Ppm1k	1
ENSMUSG00000039270	Megf9	1
ENSMUSG00000040855	Reps2	1
ENSMUSG00000044791	Setd2	1
ENSMUSG00000048911	Rnf24	1
ENSMUSG00000054843	Atrnl1	1
ENSMUSG00000061603	Akap6	1
ENSMUSG00000103332	Pcdhga2	1
ENSMUSG00000032018	Sc5d	1
ENSMUSG00000028530	Jak1	1
ENSMUSG00000036510	Cdh8	1
ENSMUSG00000021578	Ccdc127	1
ENSMUSG00000025658	Cnksr2	1
ENSMUSG00000024378	Stard4	1
ENSMUSG00000029467	Atp2a2	1
ENSMUSG00000020745	Pafah1b1	1
ENSMUSG00000040549	Ckap5	1
ENSMUSG00000006005	Tpr	1
ENSMUSG00000035247	Hectd1	1
ENSMUSG00000021147	Wdr37	1
ENSMUSG00000034981	Parm1	1
ENSMUSG00000020014	Cfap54	1
ENSMUSG00000034218	Atm	1
ENSMUSG00000024083	Pja2	1
ENSMUSG00000039585	Myo9a	1
ENSMUSG00000036990	Otud4	1
ENSMUSG00000041570	Camsap2	1
ENSMUSG00000002413	Braf	1
ENSMUSG00000021051	Ppp2r5e	1
ENSMUSG00000031376	Atp2b3	1
ENSMUSG00000032512	Wdr48	1
ENSMUSG00000035614	Togaram1	1
ENSMUSG00000040537	Adam22	1
ENSMUSG00000047126	Cltc	1
ENSMUSG00000055296	Tmem245	1
ENSMUSG00000004319	Clcn3	1
ENSMUSG00000022905	Kpna1	1
ENSMUSG00000062203	Gspt1	1
ENSMUSG00000024383	Map3k2	1
ENSMUSG00000037111	Setd7	1
ENSMUSG00000038970	Lmtk2	1
ENSMUSG00000038068	Rnf144b	1
ENSMUSG00000036617	Etl4	1
ENSMUSG00000027130	Slc12a6	1
ENSMUSG00000036745	Ttll7	1
ENSMUSG00000002052	Supt6	1
ENSMUSG00000017418	Arl5b	1
ENSMUSG00000038084	Opa1	1
ENSMUSG00000063142	Kcnma1	1
ENSMUSG00000085438	Oip5os1	1
ENSMUSG00000036815	Dpp10	1
ENSMUSG00000038664	Herc1	1
ENSMUSG00000087141	Plcxd2	1
ENSMUSG00000020340	Cyfip2	1
ENSMUSG00000027652	Ralgapb	1
ENSMUSG00000042743	Sgtb	1
ENSMUSG00000019699	Akt3	1
ENSMUSG00000010803	Gabra1	1
ENSMUSG00000020850	Prpf8	1
ENSMUSG00000027782	Kpna4	1
ENSMUSG00000027784	Ppm1l	1
ENSMUSG00000091264	Smim13	1
ENSMUSG00000028132	Tlcd4	1
ENSMUSG00000034593	Myo5a	1
ENSMUSG00000035078	Mtmr9	1
ENSMUSG00000042390	Gatad2b	1
ENSMUSG00000053199	Arhgap20	1
ENSMUSG00000054640	Slc8a1	1
ENSMUSG00000054976	Nyap2	1
ENSMUSG00000064293	Cntn4	1
ENSMUSG00000027799	Nbea	1
ENSMUSG00000056050	Mia3	1
ENSMUSG00000075478	Slitrk1	1
ENSMUSG00000103037	Pcdhgb1	1
ENSMUSG00000060212	Pcnx2	1
ENSMUSG00000022762	Ncam2	1
ENSMUSG00000033161	Atp1a1	1
ENSMUSG00000044022	Pcdhb21	1
ENSMUSG00000028518	Prkaa2	1
ENSMUSG00000035798	Zdhhc17	1
ENSMUSG00000035954	Dock4	1
ENSMUSG00000053641	Dennd4a	1
ENSMUSG00000022811	Zfp148	1
ENSMUSG00000020114	Cand1	1
ENSMUSG00000022016	Akap11	1
ENSMUSG00000024298	Zfp871	1
ENSMUSG00000026797	Stxbp1	1
ENSMUSG00000027312	Atrn	1
ENSMUSG00000033392	Clasp2	1
ENSMUSG00000040760	Appl1	1
ENSMUSG00000040907	Atp1a3	1
ENSMUSG00000054423	Cadps	1
ENSMUSG00000005506	Celf1	1
ENSMUSG00000029782	Tmem209	1
ENSMUSG00000068373	D430041D05Rik	1
ENSMUSG00000039414	Heatr5b	1
ENSMUSG00000026667	Uhmk1	1
ENSMUSG00000039100	Marchf6	1
ENSMUSG00000019894	Slc6a15	1
ENSMUSG00000030077	Chl1	1
ENSMUSG00000034636	Zyg11b	1
ENSMUSG00000022829	Stxbp5l	1
ENSMUSG00000040560	Wdr7	1
ENSMUSG00000051951	Xkr4	1
ENSMUSG00000102504	Gm21955	1
ENSMUSG00000032097	Ddx6	1
ENSMUSG00000025437	Usp33	1
ENSMUSG00000032560	Dnajc13	1
ENSMUSG00000003226	Ranbp2	1
ENSMUSG00000028035	Dnajb4	1
ENSMUSG00000061576	Dpp6	1
ENSMUSG00000059149	Mfsd4a	1
ENSMUSG00000048732	Klhl11	1
ENSMUSG00000032625	Thsd7a	1
ENSMUSG00000021557	Agtpbp1	1
ENSMUSG00000040037	Negr1	1
ENSMUSG00000028803	Nipal3	1
ENSMUSG00000031227	Magee1	1
ENSMUSG00000039485	Tspyl4	1
ENSMUSG00000020102	Slc16a7	1
