geneID	transcriptID	external_gene_name	chromosome_name	start_position	coef	p	p_adj
ENSMUSG00000079227	ENSMUST00000097855,ENSMUST00000111442,ENSMUST00000168179,ENSMUST00000169553,ENSMUST00000171499,ENSMUST00000171579	Ccr5	9	123921580	-0.889442057068039	2.27900163734354e-09	1.97786955432921e-05
ENSMUSG00000086342	ENSMUST00000143705	Gm12932	4	124976650	-0.954714555764242	1.47656012136978e-09	1.97786955432921e-05
ENSMUSG00000090799	ENSMUST00000164415,ENSMUST00000170855,ENSMUST00000226765,ENSMUST00000227271	Klhl33	14	51126039	0.962850246100772	2.03059262781269e-09	1.97786955432921e-05
ENSMUSG00000056418	ENSMUST00000070500,ENSMUST00000185694	BC043934	9	96317704	-0.881684440420719	4.37979106047321e-08	0.000285080600126201
ENSMUSG00000079048	ENSMUST00000110292,ENSMUST00000111588	4933413L06Rik	13	117843300	-0.8871272319402	7.17673609109403e-08	0.000373707001735448
ENSMUSG00000051663	ENSMUST00000052366	Pcdhb1	18	37397991	-0.714608279348226	1.59872991138653e-07	0.000693742199547662
ENSMUSG00000079139	ENSMUST00000110798	Gm4204	1	135159733	-0.821367648341013	2.20359594893904e-07	0.000819611773236811
ENSMUSG00000005481	ENSMUST00000019576,ENSMUST00000109810,ENSMUST00000127505,ENSMUST00000138789,ENSMUST00000140521,ENSMUST00000172396,ENSMUST00000212949	Ddx39a	8	84441806	0.788339143798837	4.94642835993556e-07	0.00160981510974103
ENSMUSG00000022768	ENSMUST00000023452,ENSMUST00000115711,ENSMUST00000231597,ENSMUST00000232033,ENSMUST00000232540	Ccdc116	16	16956928	0.764903647695769	6.56866089686076e-07	0.00171021655110667
ENSMUSG00000041570	ENSMUST00000048309,ENSMUST00000192001,ENSMUST00000192314,ENSMUST00000192933,ENSMUST00000194730,ENSMUST00000194808	Camsap2	1	136195861	-0.66492563733792	5.91990692354595e-07	0.00171021655110667
ENSMUSG00000051455	ENSMUST00000100378,ENSMUST00000155813,ENSMUST00000156590	Meioc	11	102554542	-0.706465386465419	8.59876390722868e-07	0.00203524924626005
ENSMUSG00000015943	ENSMUST00000016087,ENSMUST00000107099,ENSMUST00000177442	Bola1	3	96103904	0.790806199865208	9.63005216586994e-07	0.00208940031825491
ENSMUSG00000035845	ENSMUST00000043087,ENSMUST00000159328,ENSMUST00000160222,ENSMUST00000162183	Alg12	15	88689447	0.808703908924727	1.15834752166648e-06	0.00231990277493143
ENSMUSG00000100465	ENSMUST00000191240	Gm29264	5	149171626	-0.669570134798267	1.5598527824975e-06	0.00290088050322178
ENSMUSG00000032279	ENSMUST00000167866,ENSMUST00000213729,ENSMUST00000214136,ENSMUST00000215273,ENSMUST00000217484	Idh3a	9	54493618	0.751426690709565	2.73419702696355e-06	0.00444922211212644
