geneID	transcriptID	external_gene_name	chromosome_name	start_position	coef.covar.mat[covar.idx, test.var]WT/FC	coef.covar.mat[covar.idx, test.var]FC/FC	coef.covar.mat[covar.idx, test.var]WT/VS	coef.covar.mat[covar.idx, test.var]VS/VS	p	p_adj
ENSMUSG00000003660	ENSMUST00000103220,ENSMUST00000131435,ENSMUST00000140868,ENSMUST00000142327,ENSMUST00000143481	Snrnp200	2	127050306	0.546376672057651	0.76413643816635	-0.517667047994485	-0.559960174517103	6.5918822498791e-08	0.000360079103505703
ENSMUSG00000022892	ENSMUST00000005406,ENSMUST00000226232,ENSMUST00000226801,ENSMUST00000227021,ENSMUST00000227654,ENSMUST00000227723,ENSMUST00000227737,ENSMUST00000227753,ENSMUST00000227990,ENSMUST00000228375,ENSMUST00000228509	App	16	84746573	0.74495530144442	0.636659285852785	-0.557785363523677	-0.357946608382516	7.49554944444603e-08	0.000360079103505703
ENSMUSG00000024127	ENSMUST00000072406,ENSMUST00000171795,ENSMUST00000234036,ENSMUST00000234393,ENSMUST00000234676,ENSMUST00000234994	Prepl	17	85370898	0.808383103094489	0.737086888846598	-0.406079123669948	-0.344000983989489	1.59618489040486e-07	0.000360079103505703
ENSMUSG00000025551	ENSMUST00000026631,ENSMUST00000095529	Fgf14	14	124215319	0.64905017593336	0.758779278001962	-0.59695972590288	-0.355856710013071	9.1981315288754e-08	0.000360079103505703
ENSMUSG00000026824	ENSMUST00000067101,ENSMUST00000112632,ENSMUST00000112633	Kcnj3	2	55325982	0.931339001179319	0.570597411524827	-0.638677379689382	0.05006719399721	1.43935267216182e-07	0.000360079103505703
ENSMUSG00000030541	ENSMUST00000107384,ENSMUST00000125542,ENSMUST00000134070,ENSMUST00000134328,ENSMUST00000139178,ENSMUST00000156761,ENSMUST00000206714	Idh2	7	79744594	-0.903676115431024	-0.299972139770546	0.640002743616595	0.361194300879285	1.40851547704543e-07	0.000360079103505703
ENSMUSG00000031392	ENSMUST00000033769,ENSMUST00000068286,ENSMUST00000101458,ENSMUST00000114352,ENSMUST00000114353,ENSMUST00000114354,ENSMUST00000114360,ENSMUST00000124417,ENSMUST00000124580,ENSMUST00000126583,ENSMUST00000128436,ENSMUST00000128759,ENSMUST00000132144,ENSMUST00000138397,ENSMUST00000140130,ENSMUST00000144353,ENSMUST00000145677,ENSMUST00000146210,ENSMUST00000148317,ENSMUST00000148706,ENSMUST00000149809,ENSMUST00000149871	Irak1	X	73057520	-0.851216980831113	-0.863790102246452	0.53214053044257	-0.258637183058406	5.06578552714348e-08	0.000360079103505703
ENSMUSG00000035045	ENSMUST00000082183,ENSMUST00000127461,ENSMUST00000145362,ENSMUST00000150123	Zc3h12b	X	94755284	0.633665066228608	0.853564902999087	-0.505354386581309	-0.350967355596717	1.01333544926691e-07	0.000360079103505703
ENSMUSG00000038900	ENSMUST00000102811,ENSMUST00000125415,ENSMUST00000126610,ENSMUST00000133842,ENSMUST00000134912,ENSMUST00000144644,ENSMUST00000154340	Rpl12	2	32851571	-0.59400577425518	-0.585472770735455	0.755343504126616	0.409128857532695	1.65845906274216e-07	0.000360079103505703
ENSMUSG00000042807	ENSMUST00000087659,ENSMUST00000097741,ENSMUST00000120904,ENSMUST00000146850,ENSMUST00000150677,ENSMUST00000152870	Hecw2	1	53846035	0.59737082319607	0.827863339878653	-0.692963151072764	-0.217771689505149	5.94870358105564e-08	0.000360079103505703
ENSMUSG00000045967	ENSMUST00000055946,ENSMUST00000155760	Gpr158	2	21372353	0.814367813715514	0.998235161294347	-0.328748477925554	-0.121804838566897	1.05425887263463e-07	0.000360079103505703
ENSMUSG00000102742	ENSMUST00000061279	Pcdhga11	18	37888784	0.670379448969647	0.671206425618837	-0.656417831267541	-0.315305141734924	1.16310618110418e-07	0.000360079103505703
ENSMUSG00000006333	ENSMUST00000006496,ENSMUST00000108623,ENSMUST00000108624,ENSMUST00000108625,ENSMUST00000126562,ENSMUST00000128729,ENSMUST00000136858,ENSMUST00000139818,ENSMUST00000146303,ENSMUST00000146927	Rps9	7	3706992	-0.592036300024587	-0.675246667675915	0.745173929076989	0.247529403784122	2.24125495641759e-07	0.000392037855622012
ENSMUSG00000024454	ENSMUST00000043498,ENSMUST00000143660,ENSMUST00000144471,ENSMUST00000153945,ENSMUST00000235700,ENSMUST00000236756	Hdac3	18	38068897	-0.694167870795555	-0.751429397881932	0.696011972288515	0.0649685067694683	1.99186221548963e-07	0.000392037855622012
ENSMUSG00000036138	ENSMUST00000039784,ENSMUST00000175719,ENSMUST00000175743,ENSMUST00000175859,ENSMUST00000176007,ENSMUST00000176351,ENSMUST00000176397,ENSMUST00000176546,ENSMUST00000176796,ENSMUST00000177463	Acaa1a	9	119168742	-0.73121584438353	-0.869139634304673	0.32257960818067	0.25604736135569	2.46774060846659e-07	0.000392037855622012
ENSMUSG00000041268	ENSMUST00000118163,ENSMUST00000118600,ENSMUST00000123709,ENSMUST00000127880,ENSMUST00000128865,ENSMUST00000144736,ENSMUST00000149709,ENSMUST00000154092	Dmxl2	9	54272442	0.668056196264773	0.726229476104233	-0.632504393809411	-0.284599173565063	2.51287986100452e-07	0.000392037855622012
ENSMUSG00000045589	ENSMUST00000053681,ENSMUST00000128276	Frrs1l	4	56957173	0.662249353016204	0.750799207282768	-0.683938405795196	-0.151986676681265	2.55801164718439e-07	0.000392037855622012
ENSMUSG00000000902	ENSMUST00000000925,ENSMUST00000121304,ENSMUST00000133189,ENSMUST00000140388,ENSMUST00000140408,ENSMUST00000146555	Smarcb1	10	75732603	-0.776456591400962	-0.437713247848545	0.745839081654626	0.0791627021201088	4.10609414034746e-07	0.000410594192893054
ENSMUSG00000007653	ENSMUST00000007797,ENSMUST00000136050,ENSMUST00000140463,ENSMUST00000143626,ENSMUST00000192403	Gabrb2	11	42310584	0.669439957493577	0.707242815875371	-0.603778733940106	-0.289217304243212	4.05321810631011e-07	0.000410594192893054
ENSMUSG00000008153	ENSMUST00000008297,ENSMUST00000112523,ENSMUST00000124998,ENSMUST00000143283,ENSMUST00000147947,ENSMUST00000150774,ENSMUST00000156040	Clstn3	6	124407540	0.399552575530357	0.572076927268818	-0.595872286506791	-0.635001176554896	5.20058661452014e-07	0.000410594192893054
ENSMUSG00000017740	ENSMUST00000099092,ENSMUST00000124372,ENSMUST00000125867,ENSMUST00000135918,ENSMUST00000137302,ENSMUST00000202136,ENSMUST00000202223,ENSMUST00000202479,ENSMUST00000202623,ENSMUST00000208579	Slc12a5	2	164802722	0.618305625983003	0.611980295755405	-0.601223801185156	-0.327446422138252	4.75146423741449e-07	0.000410594192893054
ENSMUSG00000018761	ENSMUST00000018905,ENSMUST00000125389,ENSMUST00000127118,ENSMUST00000129224,ENSMUST00000137288,ENSMUST00000139155,ENSMUST00000148242,ENSMUST00000149764,ENSMUST00000153217,ENSMUST00000155200	Mpdu1	11	69547523	-0.774251468479505	-0.785940102837844	0.601184525756712	-0.17445940754991	4.44019250139306e-07	0.000410594192893054
ENSMUSG00000020900	ENSMUST00000018887,ENSMUST00000092984,ENSMUST00000102611,ENSMUST00000108673,ENSMUST00000124006,ENSMUST00000139059,ENSMUST00000141558,ENSMUST00000143032,ENSMUST00000145408,ENSMUST00000155765	Myh10	11	68582385	0.507536939527785	0.721540708997384	-0.680660094731273	-0.382001579946329	4.22473212495299e-07	0.000410594192893054
ENSMUSG00000027438	ENSMUST00000028926,ENSMUST00000136513,ENSMUST00000140647	Napb	2	148535905	0.753151861538115	0.550734914983491	-0.674320356336512	-0.239914443895277	3.22933407929227e-07	0.000410594192893054
ENSMUSG00000029804	ENSMUST00000031823,ENSMUST00000041401,ENSMUST00000122908,ENSMUST00000122981,ENSMUST00000126292,ENSMUST00000131132,ENSMUST00000141600,ENSMUST00000154290,ENSMUST00000203714,ENSMUST00000204196,ENSMUST00000204629,ENSMUST00000205139	Herc3	6	58808450	0.692208473182444	0.589599393964581	-0.64395115807415	-0.388092775434297	5.13918193017723e-07	0.000410594192893054
ENSMUSG00000031709	ENSMUST00000034145,ENSMUST00000093393,ENSMUST00000142673	Tbc1d9	8	83891981	0.747015379367628	0.743602136086635	-0.531560090563274	-0.255719219264865	4.8992205578408e-07	0.000410594192893054
ENSMUSG00000032518	ENSMUST00000035105,ENSMUST00000215568,ENSMUST00000216813,ENSMUST00000217317,ENSMUST00000217352,ENSMUST00000217356	Rpsa	9	119956755	-0.55269174611431	-0.557044572887977	0.815015960362494	0.331402909808484	3.65306651890078e-07	0.000410594192893054
ENSMUSG00000039765	ENSMUST00000048150,ENSMUST00000125866,ENSMUST00000127355,ENSMUST00000142303	Cc2d2a	5	43819688	0.379960862553649	0.646525181723001	-0.880313263318898	-0.262857842369159	3.50897868259835e-07	0.000410594192893054
ENSMUSG00000042272	ENSMUST00000102659,ENSMUST00000102660,ENSMUST00000139021,ENSMUST00000145366	Sestd1	2	77010684	0.836031540983175	0.857259974840673	-0.389594627657325	-0.160026752989059	3.35778721004056e-07	0.000410594192893054
ENSMUSG00000046364	ENSMUST00000053298,ENSMUST00000132877,ENSMUST00000143107,ENSMUST00000149143,ENSMUST00000156921,ENSMUST00000174303	Rpl27a	7	109118354	-0.64452473425006	-0.479053738878845	0.802209372587121	0.261368088433654	4.63010008301225e-07	0.000410594192893054
ENSMUSG00000050812	ENSMUST00000055822,ENSMUST00000102889,ENSMUST00000107557,ENSMUST00000131611,ENSMUST00000134848,ENSMUST00000135601,ENSMUST00000142102,ENSMUST00000144512,ENSMUST00000149301,ENSMUST00000149513,ENSMUST00000151869	Ecpas	4	58798911	0.726266547873573	0.680873237318997	-0.60909562383312	-0.218478959376409	5.089882364366e-07	0.000410594192893054
ENSMUSG00000067851	ENSMUST00000088615,ENSMUST00000128834,ENSMUST00000131556,ENSMUST00000142497,ENSMUST00000156563,ENSMUST00000186720,ENSMUST00000186813,ENSMUST00000187417	Arfgef1	1	10207796	0.85626427810494	0.796882754885374	-0.421605779616778	-0.184322046081606	3.52412209675293e-07	0.000410594192893054
ENSMUSG00000115632	ENSMUST00000226234	Gm17922	14	93439536	-0.79660995288899	-0.772074345070025	0.371194732309863	0.201636511806732	4.79608674293675e-07	0.000410594192893054
ENSMUSG00000029614	ENSMUST00000031617,ENSMUST00000124330,ENSMUST00000138621,ENSMUST00000139177,ENSMUST00000140515,ENSMUST00000146579,ENSMUST00000197044,ENSMUST00000201155	Rpl6	5	121342544	-0.54917465612091	-0.64352558036272	0.751659636927679	0.2298983503317	5.7742365482427e-07	0.000429834168651186
ENSMUSG00000057738	ENSMUST00000046257,ENSMUST00000095083,ENSMUST00000100225,ENSMUST00000113717,ENSMUST00000113719,ENSMUST00000113741,ENSMUST00000124494,ENSMUST00000129241,ENSMUST00000131827,ENSMUST00000143918,ENSMUST00000149038,ENSMUST00000149846,ENSMUST00000152453,ENSMUST00000201758,ENSMUST00000202286,ENSMUST00000202844	Sptan1	2	29855572	0.483854354382274	0.678099248418076	-0.645841904939261	-0.537731489513677	5.68357382740091e-07	0.000429834168651186
ENSMUSG00000030729	ENSMUST00000054436,ENSMUST00000084935,ENSMUST00000162108,ENSMUST00000208158	Pgm2l1	7	99876601	0.811581650793085	0.701627540519468	-0.598220820052577	-0.0235378314681188	6.02145212279868e-07	0.000435785871131658
ENSMUSG00000008682	ENSMUST00000008826,ENSMUST00000074085,ENSMUST00000125775,ENSMUST00000134330,ENSMUST00000135690,ENSMUST00000138954,ENSMUST00000142142,ENSMUST00000144434,ENSMUST00000146584,ENSMUST00000149171,ENSMUST00000151702	Rpl10	X	73314418	-0.537953963322064	-0.518434752896234	0.822793548192858	0.296632108701769	7.44145309616198e-07	0.000484699047418511
ENSMUSG00000024844	ENSMUST00000025762,ENSMUST00000170010,ENSMUST00000237167,ENSMUST00000237704	Banf1	19	5414666	-0.59150351902669	-0.661614792123605	0.699599808240117	0.280664501346974	7.2148849995949e-07	0.000484699047418511
ENSMUSG00000037996	ENSMUST00000044990,ENSMUST00000107155,ENSMUST00000107157,ENSMUST00000107158,ENSMUST00000134248,ENSMUST00000134643,ENSMUST00000140780,ENSMUST00000146815,ENSMUST00000155361	Slc24a2	4	86901361	0.615079559085226	0.694179721074044	-0.63656912335893	-0.293009734673679	6.93594916105153e-07	0.000484699047418511
ENSMUSG00000075318	ENSMUST00000028377,ENSMUST00000100067,ENSMUST00000138368,ENSMUST00000144254,ENSMUST00000200829,ENSMUST00000201378,ENSMUST00000202162,ENSMUST00000202508,ENSMUST00000202653	Scn2a	2	65451115	0.684345134277687	0.659152560203906	-0.649907290877413	-0.178156992775239	7.36424093616721e-07	0.000484699047418511
ENSMUSG00000022973	ENSMUST00000118246,ENSMUST00000118390,ENSMUST00000121759,ENSMUST00000125032,ENSMUST00000129041,ENSMUST00000129743,ENSMUST00000130813,ENSMUST00000154276,ENSMUST00000156140,ENSMUST00000170853,ENSMUST00000231472,ENSMUST00000231524	Synj1	16	90732980	0.777882937362828	0.652817930698501	-0.55437123146904	-0.18904347563243	8.03594628393443e-07	0.000507989308690796
ENSMUSG00000097428	ENSMUST00000180555,ENSMUST00000181406	AW047730	3	88107930	-0.85753865989912	-0.83838304589409	0.425180743351013	-0.0663388272077155	8.18897327282315e-07	0.000507989308690796
ENSMUSG00000022812	ENSMUST00000023507,ENSMUST00000114750,ENSMUST00000132057,ENSMUST00000134870,ENSMUST00000231437	Gsk3b	16	37909363	0.685956873337052	0.541241943158394	-0.76926330609738	-0.0886544302694568	8.80015942505272e-07	0.000521089440137099
ENSMUSG00000104346	ENSMUST00000073447	Pcdhga3	18	37807360	0.467946810686724	0.56564300791572	-0.624591362546341	-0.455380242477418	8.76039677177655e-07	0.000521089440137099
ENSMUSG00000018548	ENSMUST00000041282,ENSMUST00000139532,ENSMUST00000152637,ENSMUST00000154138	Trim37	11	87017903	0.855948420640738	0.73692206248133	-0.443261022320277	-0.0763639949504697	1.05314383679734e-06	0.000566363431360905
ENSMUSG00000020598	ENSMUST00000020939,ENSMUST00000110748,ENSMUST00000217796,ENSMUST00000217907,ENSMUST00000218062,ENSMUST00000218431,ENSMUST00000218540,ENSMUST00000218805,ENSMUST00000218940,ENSMUST00000219592,ENSMUST00000219906,ENSMUST00000219928,ENSMUST00000219939,ENSMUST00000220082,ENSMUST00000220123,ENSMUST00000220126,ENSMUST00000220130	Nrcam	12	44375668	0.745012727470398	0.820223616956196	-0.491812217618104	-0.10772636631675	1.00763485476762e-06	0.000566363431360905
ENSMUSG00000021374	ENSMUST00000021803,ENSMUST00000182156,ENSMUST00000182358,ENSMUST00000182914,ENSMUST00000183299,ENSMUST00000224062,ENSMUST00000224186,ENSMUST00000224203,ENSMUST00000225894	Nup153	13	46833381	0.750659992381128	0.575365334846439	-0.536692269185347	-0.379912015254497	1.06589669380607e-06	0.000566363431360905
ENSMUSG00000038039	ENSMUST00000057659,ENSMUST00000160416,ENSMUST00000160427,ENSMUST00000160636,ENSMUST00000160677,ENSMUST00000161570,ENSMUST00000162041,ENSMUST00000162860,ENSMUST00000162965,ENSMUST00000162984	Gcc2	10	58091319	0.810180562120023	0.680389993509432	-0.480901031478281	-0.205718678911362	1.08690303093749e-06	0.000566363431360905
ENSMUSG00000053025	ENSMUST00000085164,ENSMUST00000165175,ENSMUST00000206236,ENSMUST00000206344,ENSMUST00000206675,ENSMUST00000206845,ENSMUST00000207001	Sv2b	7	74764642	0.865066998662212	0.855232297656952	-0.352822588535362	-0.0226612471286428	1.07354296174056e-06	0.000566363431360905
ENSMUSG00000109031	ENSMUST00000207187	Gm45201	7	92080378	-0.512189577123858	-0.303745530295263	0.443706846884776	0.835326688902934	1.04888307737807e-06	0.000566363431360905
ENSMUSG00000029723	ENSMUST00000031738,ENSMUST00000100539,ENSMUST00000100540,ENSMUST00000110983,ENSMUST00000110985,ENSMUST00000129349,ENSMUST00000129399,ENSMUST00000138698,ENSMUST00000141733	Tsc22d4	5	137743992	-0.38982538384142	-0.500491936888302	0.834942402530579	0.0131180673930957	1.17315069449212e-06	0.00058846971565619
ENSMUSG00000074129	ENSMUST00000150350,ENSMUST00000209212,ENSMUST00000209626,ENSMUST00000209711,ENSMUST00000209812,ENSMUST00000209815,ENSMUST00000209927,ENSMUST00000209965,ENSMUST00000209967,ENSMUST00000210073,ENSMUST00000210134,ENSMUST00000210191,ENSMUST00000210792,ENSMUST00000210918,ENSMUST00000210931,ENSMUST00000210967,ENSMUST00000211037,ENSMUST00000211438,ENSMUST00000211494	Rpl13a	7	44774982	-0.518867758658229	-0.646607583467162	0.737592135354589	0.283926333860724	1.17450008498203e-06	0.00058846971565619
ENSMUSG00000002233	ENSMUST00000002303,ENSMUST00000106787,ENSMUST00000132721,ENSMUST00000176347,ENSMUST00000196817,ENSMUST00000199824	Rhoc	3	104695691	-0.37123914591668	-0.0556164104855624	0.911162533123479	0.694194448522664	1.38668268383163e-06	0.000588779557317981
ENSMUSG00000003970	ENSMUST00000004072,ENSMUST00000229183,ENSMUST00000229591	Rpl8	15	76788278	-0.546290030273814	-0.591693005713819	0.709957266934378	0.039798893629226	1.63172146794984e-06	0.000588779557317981
ENSMUSG00000006095	ENSMUST00000006254,ENSMUST00000141608,ENSMUST00000169358	Tbcb	7	29923556	-0.435628505764446	-0.517271806438743	0.848779398721136	0.332254369046218	1.65115976754344e-06	0.000588779557317981
ENSMUSG00000018567	ENSMUST00000018711,ENSMUST00000108592,ENSMUST00000139007,ENSMUST00000144443	Gabarap	11	69881969	-0.411677940732743	-0.521824607128519	0.889310699959028	0.203375426674009	1.70881611153424e-06	0.000588779557317981
ENSMUSG00000018707	ENSMUST00000018851,ENSMUST00000107660,ENSMUST00000166185,ENSMUST00000166323,ENSMUST00000167395,ENSMUST00000170024,ENSMUST00000171535,ENSMUST00000172218	Dync1h1	12	110567886	0.517645527038625	0.555472199010497	-0.704219726573264	-0.472777378037408	1.72496786762324e-06	0.000588779557317981
ENSMUSG00000019054	ENSMUST00000019198,ENSMUST00000111094,ENSMUST00000111097,ENSMUST00000138610,ENSMUST00000147557,ENSMUST00000152658	Fis1	5	136982129	-0.616697189800144	-0.768012508486022	0.589800925436507	0.202578607412856	1.54843048438137e-06	0.000588779557317981
ENSMUSG00000020436	ENSMUST00000070725,ENSMUST00000070735,ENSMUST00000109290,ENSMUST00000146198	Gabrg2	11	41801030	0.946109112978702	0.555020718565511	-0.447683509602899	-0.00626697082007741	1.80559614514294e-06	0.000588779557317981
ENSMUSG00000021495	ENSMUST00000021957,ENSMUST00000224249,ENSMUST00000224275,ENSMUST00000224486,ENSMUST00000224572,ENSMUST00000225240,ENSMUST00000225262,ENSMUST00000225703	Fam193b	13	55687129	-0.71356904517696	-0.702423311333634	0.329017170079357	0.356412418000677	1.77428542357627e-06	0.000588779557317981
ENSMUSG00000022681	ENSMUST00000023362,ENSMUST00000115805,ENSMUST00000123849,ENSMUST00000124604,ENSMUST00000136618,ENSMUST00000139161,ENSMUST00000141791,ENSMUST00000145248,ENSMUST00000230788	Ntan1	16	13636709	-0.657319396370362	-0.819669875197843	0.45556826615878	0.203542531197964	1.39434496609481e-06	0.000588779557317981
ENSMUSG00000025092	ENSMUST00000066285,ENSMUST00000235263,ENSMUST00000235662,ENSMUST00000235791,ENSMUST00000236429,ENSMUST00000236453,ENSMUST00000236839,ENSMUST00000237297,ENSMUST00000237786,ENSMUST00000238055	Hspa12a	19	58784182	0.740361144509436	0.629480569661198	-0.544178622855312	-0.253127256486056	1.51377540183539e-06	0.000588779557317981
ENSMUSG00000026201	ENSMUST00000027401,ENSMUST00000123825,ENSMUST00000126328,ENSMUST00000131738,ENSMUST00000135484,ENSMUST00000139627,ENSMUST00000142052,ENSMUST00000144355,ENSMUST00000145144,ENSMUST00000156012,ENSMUST00000186350,ENSMUST00000186492,ENSMUST00000188460,ENSMUST00000189242,ENSMUST00000189698,ENSMUST00000191108	Stk16	1	75187482	-0.406441033244773	-0.537879084172029	0.753962949646752	0.501504066009115	1.6585954507251e-06	0.000588779557317981
ENSMUSG00000026701	ENSMUST00000051925,ENSMUST00000071718,ENSMUST00000130867,ENSMUST00000139387,ENSMUST00000155135,ENSMUST00000156318,ENSMUST00000156678,ENSMUST00000192639,ENSMUST00000194613	Prdx6	1	161067682	-0.264541896751882	-0.156158149260864	1.0072461724191	0.673522064609145	1.65675895973414e-06	0.000588779557317981
ENSMUSG00000026904	ENSMUST00000054484,ENSMUST00000102735,ENSMUST00000112480,ENSMUST00000147917,ENSMUST00000149527,ENSMUST00000155219,ENSMUST00000156534	Slc4a10	2	61876806	0.744161867932139	0.766137754094682	-0.508605976376815	-0.113781768851438	1.589922131113e-06	0.000588779557317981
ENSMUSG00000029048	ENSMUST00000030914,ENSMUST00000125357,ENSMUST00000149796	Rer1	4	155158567	-0.394319303901592	-0.324724474639655	0.98580619914642	0.392840853598202	1.40861471836445e-06	0.000588779557317981
ENSMUSG00000030744	ENSMUST00000032998,ENSMUST00000107096,ENSMUST00000128174,ENSMUST00000128725,ENSMUST00000208532	Rps3	7	99127103	-0.527282097996312	-0.658547794639484	0.694485444103607	0.182502567864619	1.67799802595892e-06	0.000588779557317981
ENSMUSG00000031976	ENSMUST00000034457,ENSMUST00000173168	Urb2	8	124748247	0.679843304445678	0.531005138365294	-0.595639879101822	-0.425505734215982	1.68825909984871e-06	0.000588779557317981
ENSMUSG00000032410	ENSMUST00000034981,ENSMUST00000185633,ENSMUST00000185759,ENSMUST00000187175,ENSMUST00000187359,ENSMUST00000189106,ENSMUST00000189612,ENSMUST00000189806,ENSMUST00000190665	Xrn1	9	95836813	0.522922065190219	0.577291078666934	-0.801929315805687	-0.228251789880278	1.62015740786452e-06	0.000588779557317981
ENSMUSG00000037826	ENSMUST00000042766,ENSMUST00000203713,ENSMUST00000204607	Ppm1k	6	57483487	0.603405745060786	0.668649198657425	-0.63858107934015	-0.28941545038487	1.44679044970885e-06	0.000588779557317981
ENSMUSG00000039270	ENSMUST00000037881,ENSMUST00000107359	Megf9	4	70345302	0.790216748221922	0.691730317382728	-0.492373833470847	-0.166982976762328	1.60106165450559e-06	0.000588779557317981
ENSMUSG00000040855	ENSMUST00000101102,ENSMUST00000112334,ENSMUST00000154424,ENSMUST00000155043,ENSMUST00000155863	Reps2	X	161194950	0.790022314846254	0.700085674629674	-0.568510977638821	0.0040015676473385	1.47368326475673e-06	0.000588779557317981
ENSMUSG00000044533	ENSMUST00000054289,ENSMUST00000122809,ENSMUST00000129580,ENSMUST00000129984,ENSMUST00000132803,ENSMUST00000146867,ENSMUST00000152407,ENSMUST00000170715	Rps2	17	24937090	-0.561670943247544	-0.472562263562956	0.752835459934691	0.32934043364164	1.21635302052029e-06	0.000588779557317981
ENSMUSG00000044791	ENSMUST00000153838,ENSMUST00000195911,ENSMUST00000196814,ENSMUST00000197260,ENSMUST00000197399,ENSMUST00000197655,ENSMUST00000198587,ENSMUST00000198697,ENSMUST00000198823,ENSMUST00000200460	Setd2	9	110361665	0.420738897103599	0.732124184819545	-0.743186115304575	-0.281303802093582	1.23213816460623e-06	0.000588779557317981
