geneID	transcriptID	external_gene_name	chromosome_name	start_position	coef.covar.mat[covar.idx, test.var]WT/FC	coef.covar.mat[covar.idx, test.var]FC/FC	coef.covar.mat[covar.idx, test.var]WT/VS	coef.covar.mat[covar.idx, test.var]VS/VS	p	p_adj
ENSMUSG00000069804	ENSMUST00000092883	Gm10277	11	77676279	-1.21756632336496	-0.938606931267778	0.755535897044562	-0.0268526620559183	2.11949430374505e-07	0.00513956173715138
ENSMUSG00000027438	ENSMUST00000028926,ENSMUST00000136513,ENSMUST00000140647	Napb	2	148535905	0.94042142123733	1.11834693849779	-0.815436209558144	0.168146137278389	3.03631367358725e-06	0.0362434155202736
ENSMUSG00000045294	ENSMUST00000059155,ENSMUST00000199728	Insig1	5	28276361	0.86010028310783	0.96015579286481	-0.449993185176541	-0.560204352322288	4.48390641101986e-06	0.0362434155202736
ENSMUSG00000018761	ENSMUST00000018905,ENSMUST00000125389,ENSMUST00000127118,ENSMUST00000129224,ENSMUST00000137288,ENSMUST00000139155,ENSMUST00000148242,ENSMUST00000149764,ENSMUST00000153217,ENSMUST00000155200	Mpdu1	11	69547523	-0.914599915453995	-1.02061936722332	0.642468479156596	-0.797046006311181	1.08611951800651e-05	0.0551334492723456
ENSMUSG00000059839	ENSMUST00000019572,ENSMUST00000223711,ENSMUST00000223868,ENSMUST00000224308,ENSMUST00000225027	Zfp874b	13	67619632	1.18039331572095	1.24607772864826	0.0248772001819018	-0.27440137916602	1.13681902908049e-05	0.0551334492723456
ENSMUSG00000031392	ENSMUST00000033769,ENSMUST00000068286,ENSMUST00000101458,ENSMUST00000114352,ENSMUST00000114353,ENSMUST00000114354,ENSMUST00000114360,ENSMUST00000124417,ENSMUST00000124580,ENSMUST00000126583,ENSMUST00000128436,ENSMUST00000128759,ENSMUST00000132144,ENSMUST00000138397,ENSMUST00000140130,ENSMUST00000144353,ENSMUST00000145677,ENSMUST00000146210,ENSMUST00000148317,ENSMUST00000148706,ENSMUST00000149809,ENSMUST00000149871	Irak1	X	73057520	-0.920461293120696	-1.05279222552545	0.472648885587205	-1.03216282308293	2.04921001838759e-05	0.0709875624798295
ENSMUSG00000097428	ENSMUST00000180555,ENSMUST00000181406	AW047730	3	88107930	-1.06652081062574	-1.33217558592831	0.354230602832614	-0.574514339715025	1.97924029413867e-05	0.0709875624798295
ENSMUSG00000025878	ENSMUST00000026997,ENSMUST00000099496,ENSMUST00000124561,ENSMUST00000127195,ENSMUST00000128641,ENSMUST00000133187,ENSMUST00000148702	Uimc1	13	55175693	-1.05350773431674	-1.55983313323776	-0.360608775043848	-0.50644863430416	2.39759605819397e-05	0.0726741335189319
ENSMUSG00000021670	ENSMUST00000022176,ENSMUST00000163201,ENSMUST00000168374,ENSMUST00000168855,ENSMUST00000169196,ENSMUST00000169202,ENSMUST00000169945,ENSMUST00000169966,ENSMUST00000170287,ENSMUST00000171537,ENSMUST00000172440	Hmgcr	13	96785475	0.575609146388053	1.30250588313075	-0.608131096468564	-0.190989247731036	3.09100237385098e-05	0.0747896368797674
ENSMUSG00000022905	ENSMUST00000004054,ENSMUST00000172534,ENSMUST00000172991,ENSMUST00000173469,ENSMUST00000173555,ENSMUST00000173641,ENSMUST00000173696,ENSMUST00000173715,ENSMUST00000174500,ENSMUST00000174737	Kpna1	16	35799120	1.30480888200208	0.934326353671655	-0.151839638128761	0.957357805958523	3.70108310675578e-05	0.0747896368797674
