ensembl_gene_id,external_gene_name,entrezgene_id,chromosome_name,start_position,end_position,WT/WT_mean_expression,WT/FC_mean_expression,FC/FC_mean_expression,WT/VS_mean_expression,VS/VS_mean_expression,Agora_target,Cluster_ID
ENSMUSG00000000088,Cox5a,12858,9,57428557,57439709,-0.126752878206332,-0.247714532664231,-0.603372750020732,0.403896443800511,0.648365498023515,no,1
ENSMUSG00000000171,Sdhd,66925,9,50507657,50515112,-0.062523326951037,-0.453306830276806,-0.527054599406273,0.547453992143723,0.504547690514052,no,1
ENSMUSG00000000197,Nalcn,338370,14,123514046,123864556,-0.0349479277701183,0.79963062709784,0.409425105357294,-0.450087543246199,-0.631173430019811,no,2
ENSMUSG00000000266,Mid2,23947,X,139565348,139668464,0.204472450660674,0.552404243016135,0.286819268820857,-0.402406154428775,-0.748610459146243,no,2
ENSMUSG00000000295,Hddc2,69692,10,31189379,31204200,-0.167241789720353,-0.491072944561018,-0.434828030854474,0.543305595947269,0.634345766098793,no,1
ENSMUSG00000000326,Comt,12846,16,18225636,18245602,-0.114153860628912,-0.80464998108754,-0.269357634920202,0.683364841044289,0.523357865973455,no,1
ENSMUSG00000000339,Rtca,66368,3,116282612,116301857,-0.0318571197593802,-0.349364874906162,-0.612439420187633,0.844831936031684,0.143608579065597,no,1
ENSMUSG00000000346,Dazap2,23994,15,100513230,100518642,-0.209219988450475,-0.751291111670852,-0.322777253387363,0.993433966779494,0.384161785428037,no,1
ENSMUSG00000000374,Trappc10,216131,10,78022559,78080475,0.0896974154348889,0.731905080292634,0.317013083309998,-0.544865282685564,-0.600031267903583,no,2
ENSMUSG00000000378,Ccm2,216527,11,6496887,6546744,-0.156842819533019,-0.747958401811397,-0.267716555847595,0.744914563595025,0.482905461429205,no,1
ENSMUSG00000000399,Ndufa9,66108,6,126798684,126826099,-0.172370831878903,-0.50356067747247,-0.467404024196563,0.871172198008731,0.35947806965898,yes,1
ENSMUSG00000000489,Pdgfb,18591,15,79880075,79899178,0.124264877663533,-0.404743381225726,-0.612008125145692,0.102772472027909,0.66278688333022,no,1
ENSMUSG00000000530,Acvrl1,11482,15,101026403,101043217,-0.018894577505737,-0.921679815593477,-0.425757020169665,0.599107779339849,0.70458791575892,no,1
ENSMUSG00000000532,Acvr1b,11479,15,101071948,101111565,-0.0391975791303294,0.640303528385627,0.348129928148371,-0.438388078874758,-0.428090986815729,no,2
