geneID	transcriptID	external_gene_name	chromosome_name	start_position	coef	p	p_adj
ENSMUSG00000025326	ENSMUST00000107537,ENSMUST00000200709,ENSMUST00000200758,ENSMUST00000200781,ENSMUST00000200949,ENSMUST00000201162,ENSMUST00000201409,ENSMUST00000201480,ENSMUST00000201794,ENSMUST00000202207,ENSMUST00000202247,ENSMUST00000202288,ENSMUST00000202440,ENSMUST00000202685,ENSMUST00000202776,ENSMUST00000202945,ENSMUST00000207686,ENSMUST00000208313	Ube3a	7	58878498	-1.22228269224027	8.15495025933269e-10	9.03755568323862e-06
ENSMUSG00000025821	ENSMUST00000061890,ENSMUST00000125957	Zfp282	6	47854138	1.27086552957544	1.12430715528575e-09	9.03755568323862e-06
ENSMUSG00000032572	ENSMUST00000121963,ENSMUST00000137847,ENSMUST00000149207,ENSMUST00000218471	Col6a4	9	105866653	1.24044656303987	5.86878751870038e-10	9.03755568323862e-06
ENSMUSG00000029326	ENSMUST00000031268,ENSMUST00000169390,ENSMUST00000199518,ENSMUST00000200223	Enoph1	5	100187844	-1.17399104666128	4.15498992562134e-09	2.50493955140897e-05
ENSMUSG00000019913	ENSMUST00000020071,ENSMUST00000219436	Sim1	10	50770850	1.23200623454973	7.90704799773859e-09	2.72397803522094e-05
ENSMUSG00000026860	ENSMUST00000028214,ENSMUST00000100215,ENSMUST00000113620,ENSMUST00000113621,ENSMUST00000128387,ENSMUST00000139963,ENSMUST00000140801,ENSMUST00000140899,ENSMUST00000142689,ENSMUST00000142720,ENSMUST00000146400,ENSMUST00000151145,ENSMUST00000151354,ENSMUST00000163668	Sh3glb2	2	30234821	1.21093309040335	7.29058660975304e-09	2.72397803522094e-05
ENSMUSG00000107306	ENSMUST00000201367	Gm42577	5	75146517	-1.22779366213759	5.81237242581618e-09	2.72397803522094e-05
ENSMUSG00000003809	ENSMUST00000003907,ENSMUST00000109745,ENSMUST00000128023,ENSMUST00000136462,ENSMUST00000139180,ENSMUST00000142748	Gcdh	8	85613022	1.20307036944879	1.13062321684501e-08	3.40812235927717e-05
ENSMUSG00000015943	ENSMUST00000016087,ENSMUST00000107099,ENSMUST00000177442	Bola1	3	96103904	1.0980989613345	2.30061738590954e-08	5.54793882612086e-05
ENSMUSG00000022768	ENSMUST00000023452,ENSMUST00000115711,ENSMUST00000231597,ENSMUST00000232033,ENSMUST00000232540	Ccdc116	16	16956928	1.11216679206058	2.2775838237274e-08	5.54793882612086e-05
ENSMUSG00000090799	ENSMUST00000164415,ENSMUST00000170855,ENSMUST00000226765,ENSMUST00000227271	Klhl33	14	51126039	1.17924520158871	3.02920994144996e-08	6.64085433982416e-05
ENSMUSG00000031224	ENSMUST00000033575	Magee2	X	103898558	-1.14025104765481	3.99018172096608e-08	7.40178709239208e-05
ENSMUSG00000079242	ENSMUST00000168646	C730034F03Rik	15	89313792	-1.00114532536689	3.8395866372303e-08	7.40178709239208e-05
ENSMUSG00000020570	ENSMUST00000020885,ENSMUST00000076698,ENSMUST00000122861,ENSMUST00000129592,ENSMUST00000131562,ENSMUST00000139339,ENSMUST00000218816	Sypl1	12	33003890	1.09800901024669	1.22731638403096e-07	0.000211405247149333
ENSMUSG00000035699	ENSMUST00000042042,ENSMUST00000231690,ENSMUST00000232418	Slc51a	16	32293322	1.06887294773692	1.72774193579501e-07	0.000277763311877978
ENSMUSG00000020483	ENSMUST00000020775,ENSMUST00000107923,ENSMUST00000146941,ENSMUST00000178105	Dynll2	11	87870351	0.978299093422915	2.10861562863791e-07	0.00031780791177877
ENSMUSG00000022820	ENSMUST00000023514,ENSMUST00000135019,ENSMUST00000231881	Ndufb4	16	37467532	1.08118969226946	2.71007538746693e-07	0.000363074822048694
ENSMUSG00000039661	ENSMUST00000036631,ENSMUST00000160700,ENSMUST00000161713,ENSMUST00000162551,ENSMUST00000170204	Dusp26	8	31579499	1.12806249795559	2.6120658600896e-07	0.000363074822048694
ENSMUSG00000028813	ENSMUST00000030614	CK137956	4	127821385	1.11422007790041	3.81259319685943e-07	0.000483898341801396
ENSMUSG00000059796	ENSMUST00000102589,ENSMUST00000123995,ENSMUST00000127677,ENSMUST00000128519,ENSMUST00000129295,ENSMUST00000133067,ENSMUST00000139299,ENSMUST00000140186,ENSMUST00000140310,ENSMUST00000142214,ENSMUST00000142348,ENSMUST00000145289,ENSMUST00000163666	Eif4a1	11	69557762	-0.978341358804119	4.05904105001014e-07	0.000489418874604973
ENSMUSG00000023267	ENSMUST00000024035,ENSMUST00000108162,ENSMUST00000131920,ENSMUST00000147889	Gabrr2	4	33062999	1.06711529793641	4.60885567235326e-07	0.000529250259708566
ENSMUSG00000031441	ENSMUST00000033818,ENSMUST00000091237,ENSMUST00000125031,ENSMUST00000127197,ENSMUST00000131804,ENSMUST00000132974,ENSMUST00000133338,ENSMUST00000136918,ENSMUST00000139545,ENSMUST00000143359,ENSMUST00000152273	Atp11a	8	12807014	1.03964299175991	5.01460595366448e-07	0.000549669193511905
