geneID	transcriptID	external_gene_name	chromosome_name	start_position	coef	p	p_adj
ENSMUSG00000038642	ENSMUST00000015667,ENSMUST00000116304	Ctss	3	95434097	0.181309065803082	2.34628658211268e-24	3.05650753051819e-20
ENSMUSG00000073418	ENSMUST00000069507,ENSMUST00000173057,ENSMUST00000173669	C4b	17	34947354	0.178568022038093	1.28591340895697e-24	3.05650753051819e-20
ENSMUSG00000041828	ENSMUST00000046223,ENSMUST00000100287,ENSMUST00000106662,ENSMUST00000106664,ENSMUST00000129810,ENSMUST00000141279,ENSMUST00000146635,ENSMUST00000154849	Abca8a	11	109916460	0.173631224795454	2.02594218390832e-23	1.75946325531825e-19
ENSMUSG00000051242	ENSMUST00000057228	Pcdhb9	18	37533908	0.165495317283182	3.53515787748051e-21	2.30262508349693e-17
ENSMUSG00000052229	ENSMUST00000064016	Gpr17	18	32076050	-0.170484066078069	2.89392607634976e-20	1.50796699986433e-16
ENSMUSG00000113342	ENSMUST00000221571	AA414992	13	68329413	0.164132861841751	3.10662252216128e-19	1.3489990532065e-15
ENSMUSG00000092178	ENSMUST00000210683	Gm45351	7	9602807	0.159071149416361	8.45802664043507e-19	3.14807751556993e-15
ENSMUSG00000029826	ENSMUST00000031850,ENSMUST00000114898,ENSMUST00000114900,ENSMUST00000143702	Zc3hav1	6	38282221	0.156217179986315	3.34911637757023e-16	1.09072347626519e-12
ENSMUSG00000041596	ENSMUST00000044683,ENSMUST00000173220,ENSMUST00000173766,ENSMUST00000190796	Nlrp5-ps	7	14297224	0.14424561781015	1.29713432582943e-15	3.75505974723999e-12
ENSMUSG00000045498	ENSMUST00000051754	Pcdhb3	18	37433852	0.141683666656903	1.22176725443617e-14	3.183192404708e-11
ENSMUSG00000037708	ENSMUST00000095132,ENSMUST00000137796,ENSMUST00000138017,ENSMUST00000173763	Spag6	2	18698843	0.147703437975013	2.4588571565539e-14	5.82391494153229e-11
ENSMUSG00000115529	ENSMUST00000226618,ENSMUST00000226704,ENSMUST00000226890,ENSMUST00000228125,ENSMUST00000228857	9630013A20Rik	14	84696079	-0.144273593039354	3.7548940420519e-14	8.15250078096834e-11
ENSMUSG00000104674	ENSMUST00000196601	Gm42756	9	109366167	0.145239085335432	4.88731567177593e-14	9.79493250095769e-11
ENSMUSG00000051678	ENSMUST00000061717,ENSMUST00000194655	Pcdhb6	18	37466974	0.131083651960725	2.83372790950791e-13	5.27356763959422e-10
ENSMUSG00000073409	ENSMUST00000113879,ENSMUST00000174699	H2-Q6	17	35643826	0.135417798239611	7.40947550439734e-13	1.28697649861046e-09
ENSMUSG00000046805	ENSMUST00000081035	Mpeg1	19	12438143	0.139547333655883	8.70830288906499e-13	1.41803827169812e-09
ENSMUSG00000089715	ENSMUST00000109623,ENSMUST00000109625,ENSMUST00000109627,ENSMUST00000127721,ENSMUST00000129614,ENSMUST00000141345,ENSMUST00000148358,ENSMUST00000230681	Cbx6	15	79708097	-0.126500758786228	5.7368189147308e-12	8.7921811767292e-09
ENSMUSG00000018476	ENSMUST00000094077,ENSMUST00000156562	Kdm6b	11	69289334	-0.130523789360084	7.7535582898348e-12	1.12228448712975e-08
